-98.2,-120,-120,-120,0
-98,-120,-120,-120,0
-97,-120,-120,-120,0
-95.5,-98,-120,-120,0
-98,-120,-120,-120,0
-98.11,-120,-120,-120,0
-97,-100,-120,-120,0
-98.2,-120,-120,-120,0
-99.17,-120,-120,-120,0
-98.33,-120,-120,-120,0
-96,-120,-120,-120,0
-96.15,-120,-120,-120,0
-96.2,-120,-120,-120,0
-96.5,-120,-120,-120,0
-98.63,-120,-120,-120,0
-95.75,-120,-120,-120,0
-96.27,-120,-120,-120,0
-96.45,-120,-120,-120,0
-99,-120,-120,-120,0
-96.5,-120,-120,-120,0
-99,-120,-120,-120,0
-98.11,-120,-120,-120,0
-95.88,-120,-120,-120,0
-96,-120,-120,-120,0
-99.71,-120,-120,-120,0
-94.82,-120,-120,-120,0
-95.4,-120,-120,-120,0
-97.75,-120,-120,-120,0
-96.4,-120,-120,-120,0
-96.75,-120,-120,-120,0
-93.45,-109,-120,-120,0
-93.33,-120,-120,-120,0
-97.1,-120,-120,-120,0
-95.63,-120,-120,-120,0
-101.5,-120,-120,-120,0
-96.6,-120,-120,-120,0
-91.44,-120,-120,-120,0
-94.78,-97.33,-120,-120,0
-90.79,-106.33,-120,-120,0
-94.92,-120,-120,-120,0
-97.38,-120,-120,-120,0
-90.38,-99,-120,-120,0
-93.21,-120,-120,-120,0
-95.28,-98,-120,-120,0
-95,-120,-120,-120,0
-91.64,-98.5,-120,-120,0
-92,-120,-120,-120,0
-96.4,-97.33,-120,-120,0
-96.71,-120,-120,-120,0
-94.9,-120,-120,-120,0
-93.67,-120,-120,-120,0
-92.71,-120,-120,-120,0
-94.73,-99,-120,-120,0
-92.43,-99,-100,-120,0
-94.5,-120,-120,-120,0
-95.67,-120,-120,-120,0
-90.81,-96,-120,-120,0
-91.5,-120,-120,-120,0
-94,-99,-120,-120,0
-96.09,-120,-120,-120,0
-92.08,-98.5,-120,-120,0
-94.92,-100,-120,-120,0
-92,-120,-120,-120,0
-93.3,-120,-120,-120,0
-92.55,-120,-120,-120,0
-93,-97.5,-120,-120,0
-92,-120,-120,-120,0
-91.56,-101,-120,-120,0
-93.1,-97,-120,-120,0
-93.08,-96,-120,-120,0
-96.2,-120,-98,-120,0
-95.77,-109.5,-120,-120,0
-93.5,-95.4,-95.5,-120,0
-93.25,-120,-120,-120,0
-92.45,-111,-120,-120,0
-97.29,-120,-120,-120,0
-89.29,-120,-120,-120,0
-92.06,-97.33,-120,-120,0
-95.29,-99,-120,-120,0
-95.22,-120,-120,-120,0
-91.22,-120,-120,-120,0
-92.73,-109,-120,-120,0
-95.89,-120,-120,-120,0
-95.57,-120,-120,-120,0
-98.13,-120,-120,-120,0
-98,-120,-120,-120,0
-96,-120,-120,-120,0
-96,-120,-120,-120,0
-94.43,-100,-120,-120,0
-95.2,-120,-120,-120,0
-97,-120,-120,-120,0
-96.5,-120,-120,-120,0
-93,-120,-120,-120,0
-101,-120,-120,-120,0
-96,-120,-120,-120,0
-98,-120,-120,-120,0
-95.33,-120,-120,-120,0
-96.63,-120,-120,-120,0
-91.3,-120,-120,-120,0
-95.33,-120,-120,-120,0
-97,-120,-120,-120,0
-98.5,-120,-120,-120,0
-96.17,-120,-120,-120,0
-94.33,-120,-120,-120,0
-95.29,-104,-120,-120,0
-96.5,-120,-120,-120,0
-94.82,-98,-120,-120,0
-97.88,-120,-120,-120,0
-94.14,-120,-120,-120,0
-96.5,-120,-120,-120,0
-98.5,-120,-120,-120,0
-95.08,-120,-120,-120,0
-98.25,-120,-120,-120,0
-96,-120,-120,-120,0
-91.13,-120,-120,-120,0
